gene	allele	threshold
IGLV32-ETZW	IGLV32-ETZW*01	0.001
IGLV33-KXCY	IGLV33-KXCY*01	0.001
IGLV34-SFME	IGLV34-SFME*04/IGLV34-SFME*05	0.008
IGLV35-ACMF	IGLV35-ACMF*01	0.001
IGLV5-3RO5	IGLV5-3RO5*05	0.001
IGLV5-BNOK	IGLV5-BNOK*01	0.001
IGLV5-NWM6	IGLV5-NWM6*01	0.001
IGLV5-PJEQ	IGLV5-PJEQ*01	0.001
IGLV5-WPZI	IGLV5-WPZI*01/IGLV5-WPZI*02	0.001
IGLV5-Y6D5	IGLV5-Y6D5*02	0.001
IGLV6-43U5	IGLV6-43U5*01	0.001
IGLV6-43U5	IGLV6-43U5*02	0.001
IGLV6-43U5	IGLV6-43U5*04	0.001
IGLV6-43U5	IGLV6-43U5*06/IGLV6-43U5*10	0.001
IGLV6-T6U4	IGLV6-T6U4*06	0.001
IGLV7-63DH	IGLV7-63DH*01	0.001
IGLV7-SWRX	IGLV7-SWRX*01	0.001
IGLV7-YFQ2	IGLV7-YFQ2*01	0.001
IGLV7-YFQ2	IGLV7-YFQ2*04	0.001
IGLV1-UABS	IGLV1-UABS*03	0.002
IGLV14-QYQW	IGLV14-QYQW*01	0.002
IGLV14-QYQW	IGLV14-QYQW*07	0.001
IGLV2-4DY7	IGLV2-4DY7*02	0.001
IGLV2-FL67	IGLV2-FL67*01	0.001
IGLV24-BVHO	IGLV24-BVHO*05	0.001
IGLV25-UUQT	IGLV25-UUQT*01/IGLV25-UUQT*03	0.001
IGLV33-GBBF	IGLV33-GBBF*03	0.002
IGLV34-SFME	IGLV34-SFME*01	0.001
IGLV35-ACMF	IGLV35-ACMF*02	0.001
IGLV5-PJEQ	IGLV5-PJEQ*02	0.001
IGLV6-T6U4	IGLV6-T6U4*01	0.001
IGLV1-6UWF	IGLV1-6UWF*02	0.001
IGLV13-3XEF	IGLV13-3XEF*02/IGLV13-3XEF*03	0.001
IGLV13-4CAZ	IGLV13-4CAZ*07	0.001
IGLV13-RLBV	IGLV13-RLBV*01	0.001
IGLV13-RLSR	IGLV13-RLSR*01	0.001
IGLV14-JHDX	IGLV14-JHDX*01	0.01
IGLV14-QYQW	IGLV14-QYQW*03	0.002
IGLV18-LFXG	IGLV18-LFXG*06/IGLV18-LFXG*16	0.001
IGLV18-LFXG	IGLV18-LFXG*07	0.001
IGLV18-LFXG	IGLV18-LFXG*08	0.001
IGLV18-LFXG	IGLV18-LFXG*10	0.001
IGLV18-LFXG	IGLV18-LFXG*17/IGLV18-LFXG*19	0.001
IGLV2-LMLE	IGLV2-LMLE*01	0.001
IGLV2-UWKA	IGLV2-UWKA*01	0.001
IGLV2-UWKA	IGLV2-UWKA*15	0.001
IGLV24-7UWK	IGLV24-7UWK*08/IGLV24-7UWK*13	0.001
IGLV24-7UWK	IGLV24-7UWK*09	0.002
IGLV24-7UWK	IGLV24-7UWK*11	0.001
IGLV26-KKTJ	IGLV26-KKTJ*01	0.001
IGLV30-NPLJ	IGLV30-NPLJ*01	0.001
IGLV35-II36	IGLV35-II36*01	0.006
IGLV4-JKIO	IGLV4-JKIO*04	0.001
IGLV5-3RO5	IGLV5-3RO5*03	0.001
IGLV5-BNOK	IGLV5-BNOK*02	0.001
IGLV6-43U5	IGLV6-43U5*05	0.001
IGLV7-BWVJ	IGLV7-BWVJ*01	0.001
IGLV1-ANT2	IGLV1-ANT2*05/IGLV1-ANT2*06	0.001
IGLV1-UABS	IGLV1-UABS*06	0.001
IGLV14-QYQW	IGLV14-QYQW*02	0.001
IGLV18-HTIG	IGLV18-HTIG*01	0.007
IGLV24-7C53	IGLV24-7C53*01	0.001
IGLV24-BVHO	IGLV24-BVHO*01/IGLV24-BVHO*08	0.001
IGLV25-JH2N	IGLV25-JH2N*02	0.001
IGLV25-WFLH	IGLV25-WFLH*02/IGLV25-WFLH*03	0.001
IGLV25-ZJ6T	IGLV25-ZJ6T*01	0.001
IGLV26-5FUK	IGLV26-5FUK*02	0.001
IGLV5-3RO5	IGLV5-3RO5*01	0.001
IGLV5-NWM6	IGLV5-NWM6*03	0.001
IGLV7-NDLJ	IGLV7-NDLJ*01	0.001
IGLV7-V4Q3	IGLV7-V4Q3*03	0.001
IGLV7-YFQ2	IGLV7-YFQ2*02	0.001
IGLV7-YFQ2	IGLV7-YFQ2*05	0.003
IGLV13-PG6A	IGLV13-PG6A*03	0.001
IGLV13-PG6A	IGLV13-PG6A*04	0.001
IGLV13-RLBV	IGLV13-RLBV*09	0.001
IGLV18-HTIG	IGLV18-HTIG*03	0.001
IGLV2-UE2U	IGLV2-UE2U*01	0.001
IGLV24-7UWK	IGLV24-7UWK*04	0.002
IGLV25-JH2N	IGLV25-JH2N*06	0.001
IGLV25-ZJ6T	IGLV25-ZJ6T*06	0.001
IGLV4-JKIO	IGLV4-JKIO*03	0.001
IGLV6-T6U4	IGLV6-T6U4*02/IGLV6-T6U4*04	0.001
IGLV1-ANT2	IGLV1-ANT2*01	0.001
IGLV1-OISC	IGLV1-OISC*05	0.001
IGLV1-OMXR	IGLV1-OMXR*04	0.001
IGLV1-UABS	IGLV1-UABS*07	0.001
IGLV1-YE7M	IGLV1-YE7M*04	0.001
IGLV13-7QAJ	IGLV13-7QAJ*10	0.001
IGLV13-RM6H	IGLV13-RM6H*03	0.001
IGLV18-HTIG	IGLV18-HTIG*06	0.001
IGLV2-UE2U	IGLV2-UE2U*04	0.001
IGLV20-CWPJ	IGLV20-CWPJ*02	0.001
IGLV25-JH2N	IGLV25-JH2N*04	0.005
