gene	allele	threshold
IGKV8-A5OK	IGKV8-A5OK*04/IGKV8-A5OK*05	0.001
IGKV8-DTZ5	IGKV8-DTZ5*07	0.002
IGKV8-HC74	IGKV8-HC74*04	0.001
IGKV8-HC74	IGKV8-HC74*05	0.001
IGKV8-LJWZ	IGKV8-LJWZ*04	0.001
IGKV8-LJWZ	IGKV8-LJWZ*05	0.001
IGKV8-LZS4	IGKV8-LZS4*02	0.001
IGKV8-QHYS	IGKV8-QHYS*01	0.001
IGKV8-QHYS	IGKV8-QHYS*06	0.001
IGKV8-QHYS	IGKV8-QHYS*13	0.001
IGKV8-WE66	IGKV8-WE66*10	0.003
IGKV8-YUNW	IGKV8-YUNW*01	0.001
IGKV8-YUNW	IGKV8-YUNW*09	0.001
IGKV1-6MJ2	IGKV1-6MJ2*02	0.001
IGKV1-7OW5	IGKV1-7OW5*14	0.001
IGKV1-BHT5	IGKV1-BHT5*04	0.001
IGKV1-EDF3	IGKV1-EDF3*06	0.001
IGKV1-EVIA	IGKV1-EVIA*01/IGKV1-EVIA*03	0.006
IGKV1-JRTN	IGKV1-JRTN*06	0.001
IGKV1-JRTN	IGKV1-JRTN*11/IGKV1-JRTN*12	0.001
IGKV1-LKT2	IGKV1-LKT2*03/IGKV1-LKT2*07/IGKV1-LKT2*12	0.001
IGKV1-O43I	IGKV1-O43I*01	0.001
IGKV1-O43I	IGKV1-O43I*03	0.001
IGKV1-UB7T	IGKV1-UB7T*04	0.002
IGKV1-ZLLK	IGKV1-ZLLK*05	0.001
IGKV19-AOP2	IGKV19-AOP2*08	0.001
IGKV19-ATHQ	IGKV19-ATHQ*07	0.001
IGKV19-ATHQ	IGKV19-ATHQ*10	0.001
IGKV19-ATHQ	IGKV19-ATHQ*12	0.001
IGKV19-LU4T	IGKV19-LU4T*11	0.001
IGKV19-TVG6	IGKV19-TVG6*07	0.001
IGKV5-GWIR	IGKV5-GWIR*01	0.001
IGKV5-OWMC	IGKV5-OWMC*01	0.001
IGKV8-7LGD	IGKV8-7LGD*07	0.001
IGKV8-DTZ5	IGKV8-DTZ5*03	0.001
IGKV8-DTZ5	IGKV8-DTZ5*05	0.001
IGKV8-WE66	IGKV8-WE66*11	0.001
IGKV1-2KYC	IGKV1-2KYC*03	0.001
IGKV1-2WKU	IGKV1-2WKU*05	0.001
IGKV1-C6ID	IGKV1-C6ID*03	0.001
IGKV1-CQ6J	IGKV1-CQ6J*03	0.001
IGKV1-JRTN	IGKV1-JRTN*03	0.001
IGKV1-JRTN	IGKV1-JRTN*15	0.001
IGKV1-LILF	IGKV1-LILF*03	0.001
IGKV1-QWTS	IGKV1-QWTS*05	0.001
IGKV19-CEBD	IGKV19-CEBD*01	0.001
IGKV19-EDGP	IGKV19-EDGP*05	0.001
IGKV19-TVG6	IGKV19-TVG6*06	0.002
IGKV19-W5LH	IGKV19-W5LH*04	0.001
IGKV8-7TR6	IGKV8-7TR6*08	0.001
IGKV8-A5OK	IGKV8-A5OK*01	0.001
IGKV8-CUUV	IGKV8-CUUV*05	0.001
IGKV8-EOM2	IGKV8-EOM2*02	0.005
IGKV8-LJWZ	IGKV8-LJWZ*07	0.001
IGKV8-LZS4	IGKV8-LZS4*08	0.001
IGKV8-PGG2	IGKV8-PGG2*01	0.001
IGKV8-PGG2	IGKV8-PGG2*02	0.001
IGKV1-2WKU	IGKV1-2WKU*02	0.001
IGKV1-5WKL	IGKV1-5WKL*07	0.006
IGKV1-7OW5	IGKV1-7OW5*03	0.001
IGKV1-HJDQ	IGKV1-HJDQ*06	0.001
IGKV1-HJDQ	IGKV1-HJDQ*12	0.001
IGKV19-AOP2	IGKV19-AOP2*04	0.001
IGKV19-CEBD	IGKV19-CEBD*08	0.001
IGKV19-E7WP	IGKV19-E7WP*01	0.001
IGKV8-EOM2	IGKV8-EOM2*09	0.001
IGKV8-LZS4	IGKV8-LZS4*07	0.001
IGKV1-2KYC	IGKV1-2KYC*01	0.001
IGKV1-2WKU	IGKV1-2WKU*03	0.001
IGKV1-CL4V	IGKV1-CL4V*10	0.001
IGKV1-HSOV	IGKV1-HSOV*04	0.001
IGKV1-JRTN	IGKV1-JRTN*01	0.001
IGKV1-LK5T	IGKV1-LK5T*03	0.001
IGKV1-QWTS	IGKV1-QWTS*01	0.001
IGKV1-T2VG	IGKV1-T2VG*01	0.001
IGKV1-ZLLK	IGKV1-ZLLK*01	0.001
IGKV15-OWRA	IGKV15-OWRA*01	0.001
IGKV19-AOP2	IGKV19-AOP2*07	0.001
IGKV19-W3Y5	IGKV19-W3Y5*01	0.001
IGKV8-7LGD	IGKV8-7LGD*01	0.001
IGKV8-7TR6	IGKV8-7TR6*01	0.001
IGKV8-QHYS	IGKV8-QHYS*03	0.001
IGKV8-QHYS	IGKV8-QHYS*09	0.001
IGKV8-XOAA	IGKV8-XOAA*01	0.001
IGKV1-2WKU	IGKV1-2WKU*06	0.002
IGKV1-7OW5	IGKV1-7OW5*15	0.001
IGKV8-DTZ5	IGKV8-DTZ5*02	0.001
IGKV1-2WKU	IGKV1-2WKU*12	0.001
IGKV19-CEBD	IGKV19-CEBD*03	0.001
IGKV8-7LGD	IGKV8-7LGD*03	0.001
IGKV1-2WKU	IGKV1-2WKU*07	0.001
IGKV1-6LII	IGKV1-6LII*01	0.001
IGKV1-BHT5	IGKV1-BHT5*02	0.001
IGKV1-HJDQ	IGKV1-HJDQ*07	0.001
IGKV1-IQET	IGKV1-IQET*07	0.001
IGKV1-JRTN	IGKV1-JRTN*09	0.001
IGKV1-RYUQ	IGKV1-RYUQ*01	0.001
IGKV1-ZLLK	IGKV1-ZLLK*02	0.001
IGKV19-CEBD	IGKV19-CEBD*06	0.001
IGKV19-FKIG	IGKV19-FKIG*05	0.001
IGKV19-TVG6	IGKV19-TVG6*05	0.001
IGKV8-WE66	IGKV8-WE66*04	0.001
IGKV1-B6M4	IGKV1-B6M4*07	0.001
IGKV1-ZLLK	IGKV1-ZLLK*03	0.001
IGKV1-ZYRW	IGKV1-ZYRW*05	0.001
IGKV18-6TCR	IGKV18-6TCR*01	0.001
IGKV18-CBIS	IGKV18-CBIS*02	0.001
IGKV19-W5LH	IGKV19-W5LH*01	0.001
IGKV8-CUUV	IGKV8-CUUV*03	0.001
IGKV8-EG5C	IGKV8-EG5C*03	0.001
IGKV1-2WKU	IGKV1-2WKU*04	0.001
IGKV1-7OW5	IGKV1-7OW5*10	0.001
IGKV1-BHT5	IGKV1-BHT5*08	0.001
IGKV1-CQ6J	IGKV1-CQ6J*06	0.001
IGKV1-HSOV	IGKV1-HSOV*07	0.001
IGKV19-ATHQ	IGKV19-ATHQ*03	0.001
IGKV19-ATHQ	IGKV19-ATHQ*08	0.001
IGKV8-EG5C	IGKV8-EG5C*02	0.001
IGKV8-EOM2	IGKV8-EOM2*06	0.001
IGKV8-LJWZ	IGKV8-LJWZ*03	0.001
IGKV1-2KYC	IGKV1-2KYC*08	0.001
IGKV19-FKIG	IGKV19-FKIG*03/IGKV19-FKIG*06	0.001
IGKV8-5WB2	IGKV8-5WB2*03	0.001
IGKV1-2KYC	IGKV1-2KYC*06	0.001
IGKV1-EVIA	IGKV1-EVIA*04	0.001
IGKV1-OYRW	IGKV1-OYRW*08	0.001
IGKV8-HC74	IGKV8-HC74*06	0.001
IGKV1-2KYC	IGKV1-2KYC*05	0.002
IGKV1-7OW5	IGKV1-7OW5*01	0.001
IGKV1-IQET	IGKV1-IQET*05	0.001
IGKV1-FF5H	IGKV1-FF5H*06	0.001
IGKV1-VC23	IGKV1-VC23*01	0.001
IGKV19-7UKD	IGKV19-7UKD*07	0.001
IGKV19-AOP2	IGKV19-AOP2*09	0.001
IGKV19-EDGP	IGKV19-EDGP*06	0.001
IGKV8-3EAT	IGKV8-3EAT*07	0.001
IGKV8-7LGD	IGKV8-7LGD*04	0.001
IGKV8-QHYS	IGKV8-QHYS*05	0.001
IGKV8-QHYS	IGKV8-QHYS*12	0.001
IGKV8-QNWI	IGKV8-QNWI*01	0.001
IGKV8-WE66	IGKV8-WE66*08	0.001
IGKV1-BHT5	IGKV1-BHT5*09	0.001
IGKV1-JRTN	IGKV1-JRTN*16	0.001
IGKV1-LKT2	IGKV1-LKT2*13	0.001
IGKV19-LU4T	IGKV19-LU4T*08	0.001
IGKV8-2SZ4	IGKV8-2SZ4*17	0.001
IGKV8-3EAT	IGKV8-3EAT*03	0.001
IGKV8-7TR6	IGKV8-7TR6*04	0.001
IGKV8-RQVU	IGKV8-RQVU*01	0.001
IGKV1-CQ6J	IGKV1-CQ6J*08	0.001
IGKV8-DTZ5	IGKV8-DTZ5*06	0.001
IGKV8-WE66	IGKV8-WE66*09	0.001
IGKV1-CQ6J	IGKV1-CQ6J*01	0.001
IGKV1-LKT2	IGKV1-LKT2*09	0.001
IGKV8-DTZ5	IGKV8-DTZ5*04	0.001
IGKV8-WE66	IGKV8-WE66*06	0.001
IGKV11-E3QL	IGKV11-E3QL*01/IGKV11-E3QL*02	0.001
IGKV8-EOM2	IGKV8-EOM2*03	0.001
IGKV19-FKIG	IGKV19-FKIG*01	0.001
IGKV1-C6ID	IGKV1-C6ID*04	0.001
IGKV19-LU4T	IGKV19-LU4T*10	0.001
IGKV1-IQET	IGKV1-IQET*02	0.001
IGKV19-W5LH	IGKV19-W5LH*03	0.001
IGKV1-CL4V	IGKV1-CL4V*09	0.001
IGKV19-ATHQ	IGKV19-ATHQ*09	0.001
IGKV8-HC74	IGKV8-HC74*02	0.001
IGKV1-LKT2	IGKV1-LKT2*10	0.001
IGKV8-QNWI	IGKV8-QNWI*04	0.001
IGKV19-TVG6	IGKV19-TVG6*03	0.001
IGKV1-HSOV	IGKV1-HSOV*01	0.001
IGKV12-DMH6	IGKV12-DMH6*03	0.001
IGKV1-HSOV	IGKV1-HSOV*06	0.001
IGKV8-WE66	IGKV8-WE66*01	0.002
IGKV1-2WKU	IGKV1-2WKU*17	0.001
IGKV8-7TR6	IGKV8-7TR6*05	0.001
IGKV19-LU4T	IGKV19-LU4T*09	0.001
IGKV19-ATHQ	IGKV19-ATHQ*11	0.001
IGKV1-OOGS	IGKV1-OOGS*01	0.001
IGKV19-E7WP	IGKV19-E7WP*03	0.001
IGKV19-EDGP	IGKV19-EDGP*01	0.001
IGKV1-B6M4	IGKV1-B6M4*08	0.001
IGKV19-AOP2	IGKV19-AOP2*05	0.001
IGKV19-LU4T	IGKV19-LU4T*12	0.001
IGKV1-7OW5	IGKV1-7OW5*12	0.001
IGKV19-W3Y5	IGKV19-W3Y5*07	0.001
IGKV1-LKT2	IGKV1-LKT2*11	0.001
IGKV1-2CRK	IGKV1-2CRK*08	0.001
IGKV1-2CRK	IGKV1-2CRK*01	0.001
IGKV1-2CRK	IGKV1-2CRK*02	0.001
IGKV1-2CRK	IGKV1-2CRK*07	0.001
IGKV1-2WKU	IGKV1-2WKU*16	0.001
IGKV1-2WKU	IGKV1-2WKU*20	0.001
IGKV1-4YW5	IGKV1-4YW5*01	0.001
IGKV1-4YW5	IGKV1-4YW5*02	0.001
IGKV1-4YW5	IGKV1-4YW5*03	0.001
IGKV1-4YW5	IGKV1-4YW5*04	0.001
IGKV1-5WKL	IGKV1-5WKL*01	0.001
IGKV1-5WKL	IGKV1-5WKL*02	0.001
IGKV1-5WKL	IGKV1-5WKL*04	0.001
IGKV1-5WKL	IGKV1-5WKL*05	0.001
IGKV1-6B4R	IGKV1-6B4R*02	0.001
IGKV1-6P2I	IGKV1-6P2I*01	0.001
IGKV1-6P2I	IGKV1-6P2I*02	0.001
IGKV1-7CWE	IGKV1-7CWE*01	0.001
IGKV1-7CWE	IGKV1-7CWE*02	0.001
IGKV1-7CWE	IGKV1-7CWE*03	0.001
IGKV1-7OW5	IGKV1-7OW5*08	0.001
IGKV1-7OW5	IGKV1-7OW5*11	0.001
IGKV1-7OW5	IGKV1-7OW5*17	0.001
IGKV1-7OW5	IGKV1-7OW5*18	0.001
IGKV1-ACWK	IGKV1-ACWK*08	0.001
IGKV1-AUQR	IGKV1-AUQR*01	0.001
IGKV1-B6M4	IGKV1-B6M4*01	0.001
IGKV1-B6M4	IGKV1-B6M4*02	0.001
IGKV1-B6M4	IGKV1-B6M4*03	0.001
IGKV1-B6M4	IGKV1-B6M4*04	0.001
IGKV1-BHT5	IGKV1-BHT5*01	0.001
IGKV1-BHT5	IGKV1-BHT5*05	0.001
IGKV1-BHT5	IGKV1-BHT5*06	0.001
IGKV1-C6ID	IGKV1-C6ID*01	0.001
IGKV1-CL4V	IGKV1-CL4V*04	0.001
IGKV1-CL4V	IGKV1-CL4V*05	0.001
IGKV1-CL4V	IGKV1-CL4V*06	0.001
IGKV1-CL4V	IGKV1-CL4V*07	0.001
IGKV1-CL4V	IGKV1-CL4V*08	0.001
IGKV1-CQ6J	IGKV1-CQ6J*04	0.001
IGKV1-CQ6J	IGKV1-CQ6J*05	0.001
IGKV1-CWVM	IGKV1-CWVM*01	0.001
IGKV1-DLWB	IGKV1-DLWB*01	0.001
IGKV1-EDF3	IGKV1-EDF3*01	0.001
IGKV1-FF5H	IGKV1-FF5H*01	0.001
IGKV1-FF5H	IGKV1-FF5H*02	0.001
IGKV1-FF5H	IGKV1-FF5H*03	0.001
IGKV1-FF5H	IGKV1-FF5H*04	0.001
IGKV1-FUJJ	IGKV1-FUJJ*01	0.001
IGKV1-HJDQ	IGKV1-HJDQ*02	0.001
IGKV1-HJDQ	IGKV1-HJDQ*03	0.001
IGKV1-HJDQ	IGKV1-HJDQ*04	0.001
IGKV1-HJDQ	IGKV1-HJDQ*05	0.001
IGKV1-HJDQ	IGKV1-HJDQ*08	0.001
IGKV1-HJDQ	IGKV1-HJDQ*10	0.001
IGKV1-HO7L	IGKV1-HO7L*01	0.001
IGKV1-HO7L	IGKV1-HO7L*02	0.001
IGKV1-HSOV	IGKV1-HSOV*02	0.001
IGKV1-HSOV	IGKV1-HSOV*08	0.001
IGKV1-HSOV	IGKV1-HSOV*09	0.001
IGKV1-IQET	IGKV1-IQET*01	0.001
IGKV1-IQET	IGKV1-IQET*03	0.001
IGKV1-JRTN	IGKV1-JRTN*02	0.001
IGKV1-JRTN	IGKV1-JRTN*04	0.001
IGKV1-JRTN	IGKV1-JRTN*05	0.001
IGKV1-JRTN	IGKV1-JRTN*07	0.001
IGKV1-JRTN	IGKV1-JRTN*08	0.001
IGKV1-JRTN	IGKV1-JRTN*13	0.001
IGKV1-JRTN	IGKV1-JRTN*14	0.001
IGKV1-KXQ5	IGKV1-KXQ5*01	0.001
IGKV1-KXQ5	IGKV1-KXQ5*02	0.001
IGKV1-KXQ5	IGKV1-KXQ5*03	0.001
IGKV1-KXQ5	IGKV1-KXQ5*04	0.001
IGKV1-LILF	IGKV1-LILF*04	0.001
IGKV1-LJEY	IGKV1-LJEY*01	0.001
IGKV1-LK5T	IGKV1-LK5T*01	0.001
IGKV1-LK5T	IGKV1-LK5T*02	0.001
IGKV1-MIM3	IGKV1-MIM3*01	0.001
IGKV1-MIM3	IGKV1-MIM3*02	0.001
IGKV1-O43I	IGKV1-O43I*04	0.001
IGKV1-OOGS	IGKV1-OOGS*03	0.001
IGKV1-OOGS	IGKV1-OOGS*04	0.001
IGKV1-OOGS	IGKV1-OOGS*05	0.001
IGKV1-OOGS	IGKV1-OOGS*06	0.001
IGKV1-OYRW	IGKV1-OYRW*01	0.001
IGKV1-OYRW	IGKV1-OYRW*02	0.001
IGKV1-OYRW	IGKV1-OYRW*05	0.001
IGKV1-OYRW	IGKV1-OYRW*06	0.001
IGKV1-OYRW	IGKV1-OYRW*07	0.001
IGKV1-OYRW	IGKV1-OYRW*09	0.001
IGKV1-QWTS	IGKV1-QWTS*02	0.001
IGKV1-QWTS	IGKV1-QWTS*03	0.001
IGKV1-QWTS	IGKV1-QWTS*07	0.001
IGKV1-T2VG	IGKV1-T2VG*02	0.001
IGKV1-UB7T	IGKV1-UB7T*01	0.001
IGKV1-UB7T	IGKV1-UB7T*03	0.001
IGKV1-UB7T	IGKV1-UB7T*05	0.001
IGKV1-UB7T	IGKV1-UB7T*06	0.001
IGKV1-VM5J	IGKV1-VM5J*01	0.001
IGKV1-WGWJ	IGKV1-WGWJ*01	0.001
IGKV1-X3UN	IGKV1-X3UN*01	0.001
IGKV1-X3UN	IGKV1-X3UN*02	0.001
IGKV1-X3UN	IGKV1-X3UN*03	0.001
IGKV1-X3UN	IGKV1-X3UN*04	0.001
IGKV1-Z22Q	IGKV1-Z22Q*01	0.001
IGKV1-Z22Q	IGKV1-Z22Q*02	0.001
IGKV1-Z22Q	IGKV1-Z22Q*03	0.001
IGKV1-Z22Q	IGKV1-Z22Q*04	0.001
IGKV1-Z22Q	IGKV1-Z22Q*05	0.001
IGKV1-ZIOR	IGKV1-ZIOR*01	0.001
IGKV1-ZYRW	IGKV1-ZYRW*03	0.001
IGKV1-ZYRW	IGKV1-ZYRW*06	0.001
IGKV1-ZYRW	IGKV1-ZYRW*07	0.001
IGKV10-7UZD	IGKV10-7UZD*01	0.001
IGKV10-7UZD	IGKV10-7UZD*02	0.001
IGKV10-B432	IGKV10-B432*01	0.001
IGKV11-ZWEU	IGKV11-ZWEU*01	0.001
IGKV12-DMH6	IGKV12-DMH6*01	0.001
IGKV12-DMH6	IGKV12-DMH6*02	0.001
IGKV15-OWRA	IGKV15-OWRA*02	0.001
IGKV18-6TCR	IGKV18-6TCR*03	0.001
IGKV19-7UKD	IGKV19-7UKD*08	0.001
IGKV19-ATHQ	IGKV19-ATHQ*05	0.001
IGKV19-ATHQ	IGKV19-ATHQ*06	0.001
IGKV19-ATHQ	IGKV19-ATHQ*13	0.001
IGKV19-ATHQ	IGKV19-ATHQ*14	0.001
IGKV19-CEBD	IGKV19-CEBD*02	0.001
IGKV19-CEBD	IGKV19-CEBD*04	0.001
IGKV19-CEBD	IGKV19-CEBD*05	0.001
IGKV19-E7WP	IGKV19-E7WP*04	0.001
IGKV19-FKIG	IGKV19-FKIG*02	0.001
IGKV19-FKIG	IGKV19-FKIG*04	0.001
IGKV19-FMAS	IGKV19-FMAS*06	0.001
IGKV19-FMAS	IGKV19-FMAS*07	0.001
IGKV19-FMAS	IGKV19-FMAS*09	0.001
IGKV19-FMAS	IGKV19-FMAS*10	0.001
IGKV19-LU4T	IGKV19-LU4T*07	0.001
IGKV19-LU4T	IGKV19-LU4T*14	0.001
IGKV19-UK4L	IGKV19-UK4L*01	0.001
IGKV19-W3Y5	IGKV19-W3Y5*04	0.001
IGKV19-W3Y5	IGKV19-W3Y5*05	0.001
IGKV19-W3Y5	IGKV19-W3Y5*06	0.001
IGKV8-3EAT	IGKV8-3EAT*06	0.001
IGKV8-5WB2	IGKV8-5WB2*01	0.001
IGKV8-5XBI	IGKV8-5XBI*01	0.001
IGKV8-7LGD	IGKV8-7LGD*02	0.001
IGKV8-7TR6	IGKV8-7TR6*02	0.001
IGKV8-7TR6	IGKV8-7TR6*07	0.001
IGKV8-CUUV	IGKV8-CUUV*01	0.001
IGKV8-CUUV	IGKV8-CUUV*06	0.001
IGKV8-EOM2	IGKV8-EOM2*13	0.001
IGKV8-LF7B	IGKV8-LF7B*01	0.001
IGKV8-LJWZ	IGKV8-LJWZ*06	0.001
IGKV8-PGG2	IGKV8-PGG2*04	0.001
IGKV8-QHYS	IGKV8-QHYS*08	0.001
IGKV8-QHYS	IGKV8-QHYS*10	0.001
IGKV8-RGFL	IGKV8-RGFL*02	0.001
IGKV8-RGFL	IGKV8-RGFL*03	0.001
IGKV8-RQVU	IGKV8-RQVU*02	0.001
IGKV8-RQVU	IGKV8-RQVU*03	0.001
IGKV8-XOAA	IGKV8-XOAA*02	0.001
IGKV8-YUNW	IGKV8-YUNW*03	0.001
IGKV8-ZBTP	IGKV8-ZBTP*01	0.001
IGKV8-ZTTY	IGKV8-ZTTY*01	0.001
IGKV8-ZTTY	IGKV8-ZTTY*02	0.001
IGKV8-ZTTY	IGKV8-ZTTY*03	0.001
IGKV8-ZTTY	IGKV8-ZTTY*04	0.001
IGKV8-ZTTY	IGKV8-ZTTY*05	0.001
IGKV8-ZTTY	IGKV8-ZTTY*07	0.001
IGHJ1-PVVP	IGHJ1-PVVP*01	0.001
IGHJ1-PVVP	IGHJ1-PVVP*02	0.001
IGHJ2-DDLH	IGHJ2-DDLH*01	0.001
IGHJ2-DDLH	IGHJ2-DDLH*02	0.001
IGHJ3-XRNC	IGHJ3-XRNC*01	0.001
IGHJ4-JSJ6	IGHJ4-JSJ6*01	0.001
IGHJ4-JSJ6	IGHJ4-JSJ6*02	0.02
IGHJ5-MIQL	IGHJ5-MIQL*02	0.002
IGHJ5-MIQL	IGHJ5-MIQL*03	0.003
IGHJ5-XD6S	IGHJ5-XD6S*03	0.001
IGHJ6-GAIV	IGHJ6-GAIV*01	0.001
IGHJ5-MIQL	IGHJ5-MIQL*01	0.001
IGHJ5-XD6S	IGHJ5-XD6S*01	0.001
IGHJ6-GAIV	IGHJ6-GAIV*02	0.001
IGHJ5-XD6S	IGHJ5-XD6S*02	0.001
IGHD1-2J4B	IGHD1-2J4B*01	0.002
IGHD1-2J4B	IGHD1-2J4B*02	0.002
IGHD1-BAAI	IGHD1-BAAI*01	0.001
IGHD1-BAAI	IGHD1-BAAI*02	0.009
IGHD1-BAAI	IGHD1-BAAI*03	0.001
IGHD1-GRMY	IGHD1-GRMY*01	0.001
IGHD1-GRMY	IGHD1-GRMY*02	0.001
IGHD1-GRMY	IGHD1-GRMY*03	0.001
IGHD1-GRMY	IGHD1-GRMY*04	0.001
IGHD1-GRMY	IGHD1-GRMY*05	0.002
IGHD1-QQWR	IGHD1-QQWR*01	0.001
IGHD1-RIPD	IGHD1-RIPD*01	0.001
IGHD1-RIPD	IGHD1-RIPD*02	0.007
IGHD11-B3VX	IGHD11-B3VX*01	0.001
IGHD14-5Q35	IGHD14-5Q35*09	0.004
IGHD14-5Q35	IGHD14-5Q35*10	0.006
IGHD14-ANVS	IGHD14-ANVS*01	0.001
IGHD18-75EJ	IGHD18-75EJ*01	0.002
IGHD18-75EJ	IGHD18-75EJ*03	0.001
IGHD19-GADR	IGHD19-GADR*01	0.001
IGHD20-72Z4	IGHD20-72Z4*01	0.002
IGHD20-72Z4	IGHD20-72Z4*02	0.004
IGHD20-VBVC	IGHD20-VBVC*01	0.001
IGHD21-ELDI	IGHD21-ELDI*01	0.001
IGHD21-ELDI	IGHD21-ELDI*02	0.006
IGHD21-JYXZ	IGHD21-JYXZ*01	0.001
IGHD21-QKRU	IGHD21-QKRU*01	0.001
IGHD21-QKRU	IGHD21-QKRU*02	0.003
IGHD21-QKRU	IGHD21-QKRU*03	0.001
IGHD21-QKRU	IGHD21-QKRU*04	0.001
IGHD21-QKRU	IGHD21-QKRU*05	0.001
IGHD22-AWN2	IGHD22-AWN2*01	0.007
IGHD22-AWN2	IGHD22-AWN2*02	0.006
IGHD22-AWN2	IGHD22-AWN2*04	0.001
IGHD22-AWN2	IGHD22-AWN2*05	0.001
IGHD22-ZLQB	IGHD22-ZLQB*01	0.001
IGHD22-ZLQB	IGHD22-ZLQB*02	0.001
IGHD23-PSVV	IGHD23-PSVV*01	0.001
IGHD24-HJME	IGHD24-HJME*01	0.007
IGHD3-X76R	IGHD3-X76R*01	0.001
IGHD3-X76R	IGHD3-X76R*02	0.009
IGHD3-X76R	IGHD3-X76R*03	0.001
IGHD3-X76R	IGHD3-X76R*04	0.005
IGHD3-X76R	IGHD3-X76R*05	0.002
IGHD4-NW5N	IGHD4-NW5N*01	0.001
IGHD4-NW5N	IGHD4-NW5N*02	0.004
IGHD4-NW5N	IGHD4-NW5N*04	0.006
IGHD7-7HR7	IGHD7-7HR7*01	0.002
IGHD7-7HR7	IGHD7-7HR7*02	0.001
IGHD7-C7RJ	IGHD7-C7RJ*01	0.02
IGHD8-SXKU	IGHD8-SXKU*01	0.001
IGHD9-64ZP	IGHD9-64ZP*01	0.001
IGHD9-64ZP	IGHD9-64ZP*02	0.002
IGHD9-64ZP	IGHD9-64ZP*03	0.001
IGHD9-64ZP	IGHD9-64ZP*04	0.005
IGHD9-DWON	IGHD9-DWON*01	0.006
IGHD9-DWON	IGHD9-DWON*02	0.001
IGHD9-LDSS	IGHD9-LDSS*01	0.004
IGHD9-LDSS	IGHD9-LDSS*02	0.001
IGHD9-T3KD	IGHD9-T3KD*01	0.001
IGHD18-75EJ	IGHD18-75EJ*02	0.001
IGHD21-B4TS	IGHD21-B4TS*01	0.003
IGHD21-B4TS	IGHD21-B4TS*04	0.008
IGHD4-NW5N	IGHD4-NW5N*03	0.02
IGHD4-NW5N	IGHD4-NW5N*05	0.001
IGHV1-BSGF	IGHV1-BSGF*05	2e-04
IGHV1-FO6G	IGHV1-FO6G*01	1e-04
IGHV1-ISRF	IGHV1-ISRF*08	1e-04
IGHV1-ISRF	IGHV1-ISRF*10	0.003
IGHV1-ISRF	IGHV1-ISRF*15	1e-04
IGHV1-JHF7	IGHV1-JHF7*01	8e-04
IGHV1-JIGE	IGHV1-JIGE*01	1e-04
IGHV1-TNJW	IGHV1-TNJW*02	2e-04
IGHV1-TNJW	IGHV1-TNJW*03	1e-04
IGHV1-VCNV	IGHV1-VCNV*03	1e-04
IGHV1-Y7SR	IGHV1-Y7SR*03	1e-04
IGHV1-Y7SR	IGHV1-Y7SR*04	3e-04
IGHV13-PSOC	IGHV13-PSOC*02	1e-04
IGHV2-4QUM	IGHV2-4QUM*06/IGHV2-4QUM*09	1e-04
IGHV2-4QUM	IGHV2-4QUM*11/IGHV2-4QUM*12	1e-04
IGHV2-5VX5	IGHV2-5VX5*11	1e-04
IGHV2-5VX5	IGHV2-5VX5*12/IGHV2-5VX5*13	2e-04
IGHV2-DCLT	IGHV2-DCLT*06	1e-04
IGHV2-DPJA	IGHV2-DPJA*12	5e-04
IGHV3-37F2	IGHV3-37F2*02	1e-04
IGHV3-4PJH	IGHV3-4PJH*02	1e-04
IGHV3-4PJH	IGHV3-4PJH*10	8e-04
IGHV3-4PJH	IGHV3-4PJH*13	2e-04
IGHV3-4PJH	IGHV3-4PJH*28	3e-04
IGHV3-4PJH	IGHV3-4PJH*29	1e-04
IGHV3-4RPY	IGHV3-4RPY*01	1e-04
IGHV3-7HCW	IGHV3-7HCW*03	2e-04
IGHV3-A7N6	IGHV3-A7N6*03	1e-04
IGHV3-B5E7	IGHV3-B5E7*03	1e-04
IGHV3-B5E7	IGHV3-B5E7*07	1e-04
IGHV3-BKKC	IGHV3-BKKC*06	1e-04
IGHV3-BKKC	IGHV3-BKKC*12	1e-04
IGHV3-C4HU	IGHV3-C4HU*06	2e-04
IGHV3-DCTO	IGHV3-DCTO*03	1e-04
IGHV3-DCTO	IGHV3-DCTO*07	1e-04
IGHV3-DY3H	IGHV3-DY3H*03	1e-04
IGHV3-GYPG	IGHV3-GYPG*01	1e-04
IGHV3-GYPG	IGHV3-GYPG*19	1e-04
IGHV3-HFYN	IGHV3-HFYN*04	5e-04
IGHV3-HFYN	IGHV3-HFYN*11	1e-04
IGHV3-I3JG	IGHV3-I3JG*01	1e-04
IGHV3-L7BK	IGHV3-L7BK*08	2e-04
IGHV3-MGEX	IGHV3-MGEX*03	1e-04
IGHV3-MGEX	IGHV3-MGEX*05	6e-04
IGHV3-MGEX	IGHV3-MGEX*07	0.006
IGHV3-MGEX	IGHV3-MGEX*08	2e-04
IGHV3-PHO7	IGHV3-PHO7*01	1e-04
IGHV3-RRYX	IGHV3-RRYX*07	4e-04
IGHV3-RSQ5	IGHV3-RSQ5*03	5e-04
IGHV3-X5LH	IGHV3-X5LH*05	1e-04
IGHV3-XVTV	IGHV3-XVTV*01	1e-04
IGHV3-XVTV	IGHV3-XVTV*03	2e-04
IGHV4-4M7V	IGHV4-4M7V*04/IGHV4-4M7V*13	2e-04
