allele	threshold	threshold_min	threshold_max	mean_f1
IGKV1-CUKQ*01	0.001			
IGKV1-CUKQ*02	0.001			
IGKV1-CWVM*01	0.001			
IGKV1-DLWB*01	0.001			
IGKV1-EDF3*01	0.001			
IGKV1-EDF3*07	0.001			
IGKV1-ETVE*02	0.001			
IGKV1-FUJJ*01	0.001			
IGKV1-FV37*02	0.001			
IGKV1-FV37*03	0.001			
IGKV1-FV37*04	0.001			
IGKV1-FV37*05	0.001			
IGKV1-FV37*06	0.001			
IGKV1-FV37*07	0.001			
IGKV1-FV37*09	0.001			
IGKV1-LJ3W*01	0.001			
IGKV1-LJEY*01	0.001			
IGKV1-MIM3*01	0.001			
IGKV1-OD4Q*01	0.001			
IGKV1-OZSD*01	0.001			
IGKV1-S7KB*01	0.001			
IGKV1-VM5J*01	0.001			
IGKV1-WGWJ*01	0.001			
IGKV1-WPF6*01	0.001			
IGKV1-Z22Q*01	0.001			
IGKV1-ZIOR*01	0.001			
IGKV10-7UZD*01	0.001			
IGKV10-7UZD*02	0.001			
IGKV10-B432*01	0.001			
IGKV11-DMH6*01	0.001			
IGKV11-DMH6*03	0.001			
IGKV2-274M*02	0.001			
IGKV2-274M*05	0.001			
IGKV2-2GXT*03	0.001			
IGKV2-2GXT*06	0.001			
IGKV2-2IPP*05	0.001			
IGKV2-2PRM*06	0.001			
IGKV2-2PRM*07	0.001			
IGKV2-2PRM*09	0.001			
IGKV2-3EAT*04	0.001			
IGKV2-523J*04	0.001			
IGKV2-54DC*07	0.001			
IGKV2-54DC*08	0.001			
IGKV2-56CB*02	0.001			
IGKV2-5J5B*08	0.001			
IGKV2-5WB2*01	0.001			
IGKV2-5XBI*01	0.001			
IGKV2-BIYZ*04	0.001			
IGKV2-CGHM*01	0.001			
IGKV2-EVP3*01	0.001			
IGKV2-EVP3*02	0.001			
IGKV2-EVP3*03	0.001			
IGKV2-EVP3*04	0.001			
IGKV2-EVP3*05	0.001			
IGKV2-EVP3*06	0.001			
IGKV2-LF7B*01	0.001			
IGKV2-LFVG*01	0.001			
IGKV2-LFVG*02	0.001			
IGKV2-NEJN*01	0.001			
IGKV2-UIXK*01	0.001			
