allele	threshold	threshold_min	threshold_max	mean_f1
IGHD1-2J4B*01	0.002	0.002	0.002	0.830685458241817
IGHD1-2J4B*02	0.002	0.002	0.002	0.830417342356143
IGHD1-C7RJ*01	0.02	0.02	0.9	0.838567895621491
IGHD1-GRMY*01	0.001	0.001	0.001	0.829514333258038
IGHD1-GRMY*02	0.001	0.001	0.002	0.829514333258038
IGHD1-QQWR*01	0.001	0.001	0.001	0.829514333258038
IGHD1-RIPD*01	0.001	0.001	0.001	0.829514333258038
IGHD1-RIPD*02	0.007	0.007	0.9	0.838567895621491
IGHD1-RIPD*03	0.001	0.001	0.003	0.829514333258038
IGHD1-RIPD*04	0.001	0.001	0.001	0.829514333258038
IGHD1-RIPD*05	0.002	0.002	0.002	0.829689283128172
IGHD10-ELDI*01	0.001	0.001	0.007	0.829514333258038
IGHD10-ELDI*02	0.005	0.005	0.01	0.830389156036112
IGHD10-JYXZ*01	0.001	0.001	0.008	0.829514333258038
IGHD11-PSVV*01	0.001	0.001	0.03	0.829514333258038
IGHD12-7HR7*01	0.002	0.002	0.002	0.832478540332153
IGHD12-7HR7*02	0.001	0.001	0.02	0.829514333258038
IGHD13-SXKU*01	0.001	0.001	0.002	0.829514333258038
IGHD14-HJME*01	0.007	0.007	0.9	0.838205720796842
IGHD2-B3VX*01	0.001	0.001	0.003	0.829514333258038
IGHD2-QKRU*01	0.001	0.001	0.003	0.829514333258038
IGHD2-QKRU*02	0.003	0.003	0.008	0.835870732345349
IGHD2-QKRU*03	0.002	0.002	0.002	0.829605060580323
IGHD2-QKRU*04	0.001	0.001	0.001	0.829514333258038
IGHD2-QKRU*05	0.002	0.002	0.9	0.829533149570444
IGHD3-72Z4*01	0.002	0.002	0.006	0.83042845889003
IGHD3-72Z4*02	0.005	0.005	0.03	0.831750176258327
IGHD3-NW5N*01	0.001	0.001	0.01	0.829514333258038
IGHD3-NW5N*02	0.004	0.004	0.9	0.833210586564441
IGHD3-NW5N*04	0.006	0.006	0.9	0.833677927424127
IGHD3-VBVC*01	0.001	0.001	0.04	0.829514333258038
IGHD4-74CP*01	0.001	0.001	0.004	0.829514333258038
IGHD4-74CP*02	0.001	0.001	0.02	0.829514333258038
IGHD4-AWN2*01	0.006	0.006	0.02	0.831750176258327
IGHD4-AWN2*02	0.006	0.006	0.008	0.830805742002484
IGHD4-KMEY*01	0.001	0.001	0.001	0.829514333258038
IGHD4-ZLQB*01	0.005	0.005	0.9	0.838567895621491
IGHD5-75EJ*01	0.001	0.001	0.001	0.829514333258038
IGHD5-75EJ*03	0.001	0.001	0.009	0.829514333258038
IGHD5-X76R*01	0.001	0.001	0.003	0.829514333258038
IGHD5-X76R*02	0.001	0.001	0.003	0.829514333258038
IGHD5-X76R*03	0.001	0.001	0.002	0.829514333258038
IGHD5-X76R*04	0.005	0.005	0.009	0.836500235101924
IGHD5-X76R*05	0.005	0.005	0.005	0.832374873087957
IGHD6-64ZP*01	0.001	0.001	0.03	0.829514333258038
IGHD6-64ZP*03	0.001	0.001	0.005	0.829514333258038
IGHD6-64ZP*04	0.005	0.005	0.005	0.835315938161776
IGHD6-DWON*01	0.007	0.007	0.007	0.831269105355469
IGHD6-DWON*02	0.001	0.001	0.005	0.829514333258038
IGHD6-LDSS*01	0.004	0.004	0.9	0.836897039162938
IGHD6-LDSS*02	0.001	0.001	0.004	0.829514333258038
IGHD6-T3KD*01	0.001	0.001	0.05	0.829514333258038
IGHD6-UTCO*01	0.002	0.002	0.9	0.830210338750658
IGHD7-BAAI*01	0.001	0.001	0.001	0.829514333258038
IGHD7-BAAI*02	0.009	0.009	0.009	0.833479463184098
IGHD7-BAAI*03	0.001	0.001	0.001	0.829514333258038
IGHD8-5Q35*11	0.004	0.004	0.01	0.835602059718618
IGHD8-5Q35*12	0.006	0.006	0.007	0.829686331882049
IGHD8-ANVS*01	0.001	0.001	0.008	0.829514333258038
IGHD9-GADR*01	0.001	0.001	0.002	0.829514333258038
IGHD10-B4TS*01	0.003	0.003	0.9	0.830852502508461
IGHD10-B4TS*04	0.008	0.008	0.009	0.83028967005607
IGHD3-NW5N*03	0.02	0.02	0.9	0.834543530834327
IGHD3-NW5N*05	0.001	0.001	0.007	0.829514333258038
IGHD5-75EJ*02	0.001	0.001	0.001	0.829514333258038
IGHJ1-PVVP*01	0.001	0.001	0.01	0.930172494495933
IGHJ1-PVVP*02	0.001	0.001	0.008	0.930172494495933
IGHJ2-DDLH*01	0.001	0.001	0.004	0.930172494495933
IGHJ2-DDLH*02	0.001	0.001	0.01	0.930172494495933
IGHJ3-XRNC*01	0.001	0.001	0.02	0.930172494495933
IGHJ4-JSJ6*01	0.001	0.001	0.4	0.930172494495933
IGHJ4-JSJ6*02	0.02	0.02	0.9	0.985007012251594
IGHJ4-MIQL*02	0.002	0.002	0.05	0.942177998451901
IGHJ4-MIQL*03	0.003	0.003	0.03	0.931465319318169
IGHJ4-XD6S*03	0.001	0.001	0.04	0.930172494495933
IGHJ6-GAIV*01	0.001	0.001	0.09	0.930172494495933
IGHJ4-MIQL*01	0.001	0.001	0.05	0.930172494495933
IGHJ4-XD6S*01	0.001	0.001	0.04	0.930172494495933
IGHJ6-GAIV*02	0.001	0.001	0.9	0.930172494495933
IGHJ4-XD6S*02	0.001	0.001	0.9	0.930172494495933
IGHV1-2BLY*10	1e-04	1e-04	1e-04	0.871522856690247
IGHV1-2HU4*04	2e-04	2e-04	0.004	0.871597061608742
IGHV1-2OLR*02	1e-04	1e-04	0.008	0.871522856690247
IGHV1-2OLR*12	0.002	0.002	0.02	0.873688827671091
IGHV1-2OLR*16	1e-04	1e-04	0.009	0.871522856690247
IGHV1-ANXI*03	1e-04	1e-04	1e-04	0.871522856690247
IGHV1-C44K*03	1e-04	1e-04	3e-04	0.871522856690247
IGHV1-E2SY*02	1e-04	1e-04	0.003	0.871522856690247
IGHV1-E2SY*03	3e-04	3e-04	0.02	0.872019816102683
IGHV1-GNLD*01	2e-04	2e-04	0.001	0.871590762640506
IGHV1-GNLD*02	1e-04	1e-04	6e-04	0.871522856690247
IGHV1-JHF7*01	8e-04	8e-04	0.01	0.871882254120705
IGHV2-3D4X*03/IGHV2-3D4X*11	1e-04	1e-04	6e-04	0.871522856690247
IGHV2-3D4X*08/IGHV2-3D4X*12	1e-04	1e-04	4e-04	0.871522856690247
IGHV2-3QDL*05	1e-04	1e-04	8e-04	0.871522856690247
IGHV2-5KIN*08	1e-04	1e-04	0.002	0.871522856690247
IGHV2-5KIN*12/IGHV2-5KIN*15	2e-04	2e-04	0.002	0.87158631249328
IGHV2-5KIN*14	5e-04	5e-04	0.009	0.871664482685422
IGHV3-22WP*07	2e-04	2e-04	0.009	0.871674594558248
IGHV3-24RK*01	1e-04	1e-04	0.001	0.871522856690247
IGHV3-2BNO*06	1e-04	1e-04	4e-04	0.871522856690247
IGHV3-2BNO*08	1e-04	1e-04	5e-04	0.871522856690247
IGHV3-2RXM*02	1e-04	1e-04	0.002	0.871522856690247
IGHV3-2RXM*13	5e-04	5e-04	0.004	0.871664482685422
IGHV3-2UXX*11	2e-04	2e-04	0.006	0.871592226270748
IGHV3-37F2*02	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-3PEF*01	3e-04	3e-04	0.02	0.871679545971418
IGHV3-3PEF*09	6e-04	6e-04	0.004	0.872852250047696
IGHV3-3PEF*12	1e-04	1e-04	8e-04	0.871522856690247
IGHV3-3PEF*18	2e-04	2e-04	9e-04	0.87181718549626
IGHV3-3PEF*20	1e-04	1e-04	0.002	0.871522856690247
IGHV3-3UBQ*01	1e-04	1e-04	2e-04	0.871522856690247
IGHV3-3UBQ*06	1e-04	1e-04	8e-04	0.871522856690247
IGHV3-4KYZ*04	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-4QRG*06	4e-04	4e-04	0.008	0.871654218443539
IGHV3-4RPY*01	1e-04	1e-04	0.002	0.871522856690247
IGHV3-5JBG*03	1e-04	1e-04	0.002	0.871522856690247
IGHV3-5JBG*06	0.005	0.005	0.02	0.873684311294148
IGHV3-5JBG*07	2e-04	2e-04	0.005	0.871590762640506
IGHV3-5M3E*02	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-5M3E*11	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-6HY2*05	1e-04	1e-04	3e-04	0.871522856690247
IGHV3-6JOO*05	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-6W37*04	1e-04	1e-04	9e-04	0.871522856690247
IGHV3-6W37*07	1e-04	1e-04	2e-04	0.871522856690247
IGHV3-76QU*04	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-76QU*05	2e-04	2e-04	2e-04	0.87158631249328
IGHV3-7HCW*02	2e-04	2e-04	0.008	0.871597061608742
IGHV3-I3JG*01	1e-04	1e-04	2e-04	0.871522856690247
IGHV3-MKDL*04	5e-04	5e-04	0.005	0.87158631249328
IGHV4-2BVG*10	1e-04	1e-04	0.01	0.871522856690247
IGHV4-2BVG*16	1e-04	1e-04	1e-04	0.871522856690247
IGHV4-2DK6*08/IGHV4-2DK6*12	2e-04	2e-04	0.003	0.871597061608742
IGHV4-2DK6*14/IGHV4-2DK6*17/IGHV4-2DK6*24	2e-04	2e-04	0.004	0.871666580709403
IGHV4-2GPA*03/IGHV4-2GPA*05	1e-04	1e-04	0.001	0.871522856690247
IGHV4-2JI5*04	2e-04	2e-04	0.009	0.87158631249328
IGHV4-2JI5*11	9e-04	9e-04	0.003	0.872090142158164
IGHV4-2JI5*13	0.002	0.002	0.01	0.872633205615195
IGHV4-2NIW*02/IGHV4-2NIW*09	1e-04	1e-04	0.007	0.871522856690247
IGHV4-2VJM*07/IGHV4-2VJM*12	2e-04	2e-04	0.006	0.871638661401393
IGHV4-2ZSG*03/IGHV4-2ZSG*19	1e-04	1e-04	0.002	0.871522856690247
IGHV4-2ZSG*07	4e-04	4e-04	0.01	0.871601026882389
IGHV4-2ZSG*09	0.007	0.007	0.008	0.871658841679372
IGHV4-2ZSG*17	3e-04	3e-04	0.02	0.871603394434571
IGHV4-2ZSG*27	1e-04	1e-04	0.001	0.871522856690247
IGHV4-36BV*07/IGHV4-36BV*24	9e-04	9e-04	9e-04	0.872218503948215
IGHV4-36BV*12	0.007	0.007	0.02	0.874055841086436
IGHV4-36BV*15	7e-04	7e-04	0.006	0.871749232972464
IGHV4-36BV*26	2e-04	2e-04	0.008	0.87158631249328
IGHV4-36BV*31	8e-04	8e-04	0.004	0.872040129533962
IGHV4-3H7B*01	0.006	0.006	0.02	0.874926315182078
IGHV4-3H7B*02/IGHV4-3H7B*03	3e-04	3e-04	0.001	0.871597061608742
IGHV4-3X7S*01/IGHV4-3X7S*05	2e-04	2e-04	0.01	0.87167287967764
IGHV4-4GRF*01	2e-04	2e-04	0.004	0.871639301735698
IGHV4-4VQH*03	1e-04	1e-04	0.009	0.871522856690247
IGHV4-4VQH*11/IGHV4-4VQH*12	1e-04	1e-04	7e-04	0.871522856690247
IGHV4-53JX*06	1e-04	1e-04	5e-04	0.871522856690247
IGHV4-7BJU*05	1e-04	1e-04	0.01	0.871522856690247
IGHV4-7BJU*06/IGHV4-7BJU*09	1e-04	1e-04	0.006	0.871522856690247
IGHV4-7BJU*10	0.003	0.003	0.02	0.873206612289124
IGHV4-ABR2*02	4e-04	4e-04	0.01	0.871597061608742
IGHV5-2GFF*13	1e-04	1e-04	0.004	0.871522856690247
IGHV5-4KAP*14	2e-04	2e-04	0.01	0.871666431189244
IGHV6-DRH7*02	3e-04	3e-04	7e-04	0.871887576576793
IGHV6-DRH7*03	1e-04	1e-04	5e-04	0.871522856690247
IGHV7-2ITL*01	4e-04	4e-04	6e-04	0.87158631249328
IGHV7-2ITL*06	1e-04	1e-04	5e-04	0.871522856690247
IGHV7-3Y2O*03	2e-04	2e-04	3e-04	0.871638661401393
IGHV7-3Y2O*05	1e-04	1e-04	9e-04	0.871522856690247
IGHV8-D66A*01	1e-04	1e-04	1e-04	0.871522856690247
IGHV9-2BCH*06	1e-04	1e-04	9e-04	0.871522856690247
IGHV9-2BCH*21	9e-04	9e-04	0.02	0.873837196534709
IGHV9-2IKB*04	1e-04	1e-04	4e-04	0.871522856690247
IGHV9-2IKB*09	1e-04	1e-04	1e-04	0.871522856690247
IGHV9-2SFB*12	1e-04	1e-04	0.001	0.871522856690247
IGHV9-2SFB*17	1e-04	1e-04	0.001	0.871522856690247
IGHV9-3L3I*04	1e-04	1e-04	0.004	0.871522856690247
IGHV9-46UO*01	3e-04	3e-04	0.009	0.871603394434571
IGHV9-46UO*07	1e-04	1e-04	0.002	0.871522856690247
IGHV9-4AQC*01	1e-04	1e-04	3e-04	0.871522856690247
IGHV9-4BFW*09	7e-04	7e-04	0.02	0.872560293244194
IGHV9-4BFW*10	4e-04	4e-04	0.006	0.87158631249328
IGHV9-4BFW*20	1e-04	1e-04	8e-04	0.871522856690247
IGHV9-4FTX*06	1e-04	1e-04	1e-04	0.871522856690247
IGHV9-7U4O*04	4e-04	4e-04	0.002	0.87158631249328
IGHV1-4B2U*07	2e-04	2e-04	0.01	0.871660517411776
IGHV1-5CI5*03	4e-04	4e-04	0.008	0.87158631249328
IGHV1-5CI5*07	4e-04	4e-04	0.008	0.87158631249328
IGHV1-5CI5*10	1e-04	1e-04	0.003	0.871522856690247
IGHV1-C44K*01	1e-04	1e-04	0.001	0.871522856690247
IGHV2-2YU6*02/IGHV2-2YU6*03	1e-04	1e-04	0.002	0.871522856690247
IGHV2-2YU6*05	1e-04	1e-04	1e-04	0.871522856690247
IGHV2-73MP*02	1e-04	1e-04	2e-04	0.871522856690247
IGHV3-22WP*04	2e-04	2e-04	0.005	0.871593413426998
IGHV3-24RK*03	1e-04	1e-04	2e-04	0.871522856690247
IGHV3-2BNO*11	2e-04	2e-04	0.001	0.87158631249328
IGHV3-2UXX*01	1e-04	1e-04	8e-04	0.871522856690247
IGHV3-2UXX*09	4e-04	4e-04	0.007	0.871736335480673
IGHV3-3NC3*04	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-3PEF*03	1e-04	1e-04	0.001	0.871522856690247
IGHV3-3PEF*11	1e-04	1e-04	0.001	0.871522856690247
IGHV3-4KYZ*03	1e-04	1e-04	0.003	0.871522856690247
IGHV3-4KYZ*08	1e-04	1e-04	3e-04	0.871522856690247
IGHV3-7MC3*02	1e-04	1e-04	3e-04	0.871522856690247
IGHV3-CLND*05	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-CPDB*02	2e-04	2e-04	7e-04	0.871600389639752
IGHV3-D3PW*07	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-DWUN*02	1e-04	1e-04	0.001	0.871522856690247
IGHV3-MKDL*07	5e-04	5e-04	0.02	0.872606354357358
IGHV4-2NIW*14	2e-04	2e-04	0.01	0.871597061608742
IGHV4-2VJM*08	2e-04	2e-04	0.01	0.871671125004605
IGHV4-2W2B*07	2e-04	2e-04	0.007	0.87158631249328
IGHV4-2WWR*04	1e-04	1e-04	2e-04	0.871522856690247
IGHV4-2WWR*06	1e-04	1e-04	0.005	0.871522856690247
IGHV4-2WWR*07	2e-04	2e-04	0.001	0.871600389639752
IGHV4-36BV*19	2e-04	2e-04	0.008	0.871599008227095
IGHV4-4GRF*06	1e-04	1e-04	0.001	0.871522856690247
IGHV4-HDK3*03	1e-04	1e-04	0.001	0.871522856690247
IGHV4-JJNU*03	2e-04	2e-04	0.005	0.87158631249328
IGHV4-N2SB*01	1e-04	1e-04	0.01	0.871522856690247
IGHV5-2GFF*08	2e-04	2e-04	0.007	0.871598674759144
IGHV5-2GFF*14	1e-04	1e-04	0.01	0.871522856690247
IGHV5-4KAP*06	1e-04	1e-04	0.01	0.871522856690247
IGHV5-4KAP*10	4e-04	4e-04	0.009	0.871856105465466
IGHV7-2ITL*03	4e-04	4e-04	0.02	0.8721236614506
IGHV7-3Y2O*01	1e-04	1e-04	1e-04	0.871522856690247
IGHV9-2SFB*11	1e-04	1e-04	6e-04	0.871522856690247
IGHV9-46UO*02	4e-04	4e-04	0.007	0.871589097405457
IGHV9-46UO*06	1e-04	1e-04	0.008	0.871522856690247
IGHV9-4AQC*03	1e-04	1e-04	1e-04	0.871522856690247
IGHV9-4FTX*10	1e-04	1e-04	1e-04	0.871522856690247
IGHV9-4SV6*07	1e-04	1e-04	0.001	0.871522856690247
IGHV9-4SV6*08	2e-04	2e-04	0.004	0.87158631249328
IGHV9-EKCD*05	1e-04	1e-04	3e-04	0.871522856690247
IGHV3-2BNO*03	1e-04	1e-04	4e-04	0.871522856690247
IGHV3-37F2*03	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-3NC3*02	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-4KYZ*09	1e-04	1e-04	0.001	0.871522856690247
IGHV3-5M3E*01	1e-04	1e-04	0.003	0.871522856690247
IGHV3-7HCW*04	5e-04	5e-04	0.02	0.872192927843924
IGHV3-7MC3*03	1e-04	1e-04	1e-04	0.871522856690247
IGHV4-2NIW*05	2e-04	2e-04	0.02	0.871597061608742
IGHV4-2VJM*10	2e-04	2e-04	0.01	0.871639301735698
IGHV4-2ZSG*02/IGHV4-2ZSG*10	1e-04	1e-04	0.004	0.871522856690247
IGHV4-36BV*22	1e-04	1e-04	0.001	0.871522856690247
IGHV4-4GRF*05	1e-04	1e-04	0.01	0.871522856690247
IGHV4-HDK3*07	1e-04	1e-04	3e-04	0.871522856690247
IGHV5-4KAP*15	2e-04	2e-04	0.01	0.871598674759144
IGHV7-3Y2O*06	1e-04	1e-04	1e-04	0.871522856690247
IGHV9-2BCH*17	1e-04	1e-04	0.001	0.871522856690247
IGHV9-2IKB*03	1e-04	1e-04	3e-04	0.871522856690247
IGHV9-2SFB*14	1e-04	1e-04	8e-04	0.871522856690247
IGHV1-2OLR*05	1e-04	1e-04	0.02	0.871522856690247
IGHV1-2OLR*15	3e-04	3e-04	0.006	0.871585489481213
IGHV1-4B2U*03	1e-04	1e-04	0.01	0.871522856690247
IGHV1-5CI5*09	2e-04	2e-04	0.008	0.871639301735698
IGHV1-5CI5*12	1e-04	1e-04	0.01	0.871522856690247
IGHV1-E2SY*01	1e-04	1e-04	0.006	0.871522856690247
IGHV2-3D4X*06/IGHV2-3D4X*13	1e-04	1e-04	2e-04	0.871522856690247
IGHV2-3QDL*07	2e-04	2e-04	0.005	0.871767483676008
IGHV2-5KIN*02	1e-04	1e-04	0.001	0.871522856690247
IGHV2-5KIN*09	1e-04	1e-04	0.005	0.871522856690247
IGHV2-5KIN*11	1e-04	1e-04	0.004	0.871522856690247
IGHV3-2RXM*15	1e-04	1e-04	0.004	0.871522856690247
IGHV3-2VS2*02	1e-04	1e-04	0.005	0.871522856690247
IGHV3-2VS2*07	1e-04	1e-04	0.01	0.871522856690247
IGHV3-35O3*01	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-37F2*01	1e-04	1e-04	4e-04	0.871522856690247
IGHV3-3PEF*05	1e-04	1e-04	0.002	0.871522856690247
IGHV3-3PEF*27	4e-04	4e-04	0.02	0.871737345339464
IGHV3-3PEF*30	1e-04	1e-04	0.004	0.871522856690247
IGHV3-4D57*05/IGHV3-4D57*06	1e-04	1e-04	0.001	0.871522856690247
IGHV3-4KYZ*07	1e-04	1e-04	8e-04	0.871522856690247
IGHV3-4KYZ*14	1e-04	1e-04	0.003	0.871522856690247
IGHV3-5M3E*13	1e-04	1e-04	0.008	0.871522856690247
IGHV3-5M3E*16	1e-04	1e-04	0.003	0.871522856690247
IGHV3-6W37*01	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-6W37*03	1e-04	1e-04	0.001	0.871522856690247
IGHV3-6W37*05	1e-04	1e-04	2e-04	0.871522856690247
IGHV3-76QU*02	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-7FPK*01	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-CLND*03	5e-04	5e-04	0.001	0.872101867385443
IGHV3-D3PW*03	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-M5YN*02	1e-04	1e-04	0.01	0.871522856690247
IGHV3-MKDL*06	8e-04	8e-04	0.004	0.871727115476388
IGHV4-2BVG*05	1e-04	1e-04	0.002	0.871522856690247
IGHV4-2BVG*13	2e-04	2e-04	7e-04	0.87158631249328
IGHV4-2BVG*17	1e-04	1e-04	0.006	0.871522856690247
IGHV4-2DK6*05	0.002	0.002	0.02	0.871664482685422
IGHV4-2GPA*04	3e-04	3e-04	6e-04	0.87171376997083
IGHV4-2GPA*07	4e-04	4e-04	0.002	0.871601026882389
IGHV4-2JI5*02	2e-04	2e-04	0.003	0.87158631249328
IGHV4-2JI5*15	1e-04	1e-04	0.005	0.871522856690247
IGHV4-2JI5*19	1e-04	1e-04	0.006	0.871522856690247
IGHV4-2JI5*22	1e-04	1e-04	0.01	0.871522856690247
IGHV4-2JI5*23	4e-04	4e-04	0.004	0.871601026882389
IGHV4-2VJM*03	2e-04	2e-04	0.01	0.87158631249328
IGHV4-2VJM*04	1e-04	1e-04	0.007	0.871522856690247
IGHV4-2W2B*13	4e-04	4e-04	0.01	0.871601026882389
IGHV4-2ZA7*03	1e-04	1e-04	0.01	0.871522856690247
IGHV4-2ZSG*14/IGHV4-2ZSG*16	2e-04	2e-04	0.01	0.871590762640506
IGHV4-3H7B*05	1e-04	1e-04	0.005	0.871522856690247
IGHV4-3X7S*04	1e-04	1e-04	0.005	0.871522856690247
IGHV4-3X7S*10	1e-04	1e-04	2e-04	0.871522856690247
IGHV4-3XRG*02	1e-04	1e-04	0.004	0.871522856690247
IGHV4-4GRF*07	1e-04	1e-04	0.007	0.871522856690247
IGHV4-4GRF*09	2e-04	2e-04	0.002	0.871590762640506
IGHV4-4ZJ3*03	1e-04	1e-04	0.001	0.871522856690247
IGHV4-4ZJ3*05	1e-04	1e-04	7e-04	0.871522856690247
IGHV4-53JX*13	1e-04	1e-04	5e-04	0.871522856690247
IGHV4-62EI*03	1e-04	1e-04	0.009	0.871522856690247
IGHV4-6CBH*06	2e-04	2e-04	0.01	0.871583023610474
IGHV4-6CBH*09	1e-04	1e-04	0.01	0.871522856690247
IGHV4-7BJU*02	1e-04	1e-04	0.01	0.871522856690247
IGHV4-AM7J*02	1e-04	1e-04	0.008	0.871522856690247
IGHV4-DVI5*01	1e-04	1e-04	0.002	0.871522856690247
IGHV4-JJNU*01	1e-04	1e-04	0.01	0.871522856690247
IGHV5-2GFF*01	1e-04	1e-04	0.009	0.871522856690247
IGHV5-2GFF*03	2e-04	2e-04	0.001	0.87158631249328
IGHV5-4KAP*05	4e-04	4e-04	0.009	0.871662130562178
IGHV5-4KAP*13	4e-04	4e-04	0.01	0.871684019225443
IGHV7-2ITL*05	1e-04	1e-04	0.003	0.871522856690247
IGHV7-2ITL*16	1e-04	1e-04	3e-04	0.871522856690247
IGHV9-2SFB*16	1e-04	1e-04	0.001	0.871522856690247
IGHV9-2SFB*18	4e-04	4e-04	0.02	0.871651506886137
IGHV9-3L3I*01	2e-04	2e-04	0.001	0.87158631249328
IGHV9-4BFW*08	1e-04	1e-04	0.007	0.871522856690247
IGHV9-4BFW*12	1e-04	1e-04	0.001	0.871522856690247
IGHV9-4FTX*03	1e-04	1e-04	0.001	0.871522856690247
IGHV9-4FTX*07	1e-04	1e-04	2e-04	0.871522856690247
IGHV9-EKCD*04	1e-04	1e-04	1e-04	0.871522856690247
IGHV1-2BLY*08	1e-04	1e-04	0.003	0.871522856690247
IGHV1-2HU4*01	1e-04	1e-04	0.008	0.871522856690247
IGHV1-ANXI*02	1e-04	1e-04	2e-04	0.871522856690247
IGHV1-E2SY*05	1e-04	1e-04	0.005	0.871522856690247
IGHV2-3QDL*02	1e-04	1e-04	1e-04	0.871522856690247
IGHV2-5KIN*18	2e-04	2e-04	0.006	0.87158631249328
IGHV2-X7EJ*01	1e-04	1e-04	7e-04	0.871522856690247
IGHV3-22WP*10	1e-04	1e-04	0.005	0.871522856690247
IGHV3-24RK*07	5e-04	5e-04	0.02	0.872252431640421
IGHV3-2RXM*07	2e-04	2e-04	0.008	0.871666580709403
IGHV3-2VS2*06	0.003	0.003	0.02	0.872202275671473
IGHV3-2VS2*08	2e-04	2e-04	0.003	0.871728423362035
IGHV3-3NC3*03	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-5HEL*08	2e-04	2e-04	0.01	0.87158631249328
IGHV3-CLND*01	1e-04	1e-04	2e-04	0.871522856690247
IGHV4-2QEK*04	1e-04	1e-04	2e-04	0.871522856690247
IGHV4-2ZSG*20	1e-04	1e-04	0.006	0.871522856690247
IGHV4-2ZSG*23	4e-04	4e-04	0.02	0.871668932832648
IGHV4-36BV*14	2e-04	2e-04	0.007	0.871602338901291
IGHV4-37DG*01/IGHV4-37DG*09	2e-04	2e-04	0.002	0.871590762640506
IGHV4-3H7B*06	1e-04	1e-04	1e-04	0.871522856690247
IGHV4-3H7B*09	2e-04	2e-04	0.01	0.871590762640506
IGHV4-4GRF*08	1e-04	1e-04	0.01	0.871522856690247
IGHV4-4VQH*01	2e-04	2e-04	5e-04	0.871600389639752
IGHV4-62EI*01	1e-04	1e-04	0.02	0.871522856690247
IGHV4-6CBH*02	2e-04	2e-04	0.02	0.871600389639752
IGHV4-6CBH*13	2e-04	2e-04	0.008	0.871590762640506
IGHV4-BJNS*03	1e-04	1e-04	2e-04	0.871522856690247
IGHV4-HDK3*04	2e-04	2e-04	0.001	0.87158631249328
IGHV4-PY3X*02	1e-04	1e-04	0.006	0.871522856690247
IGHV5-4KAP*07	2e-04	2e-04	0.02	0.871600389639752
IGHV9-2IKB*07	6e-04	6e-04	0.007	0.871590762640506
IGHV9-4AQC*05	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-2BNO*07	1e-04	1e-04	0.002	0.871522856690247
IGHV3-4QRG*04	3e-04	3e-04	0.007	0.871745503255129
IGHV3-7MC3*01	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-D3PW*04	1e-04	1e-04	1e-04	0.871522856690247
IGHV4-2JI5*20	3e-04	3e-04	0.02	0.871653395431471
IGHV4-2ZSG*04	2e-04	2e-04	0.01	0.871658777660588
IGHV4-62EI*04	4e-04	4e-04	0.02	0.871590762640506
IGHV4-ARW2*09	2e-04	2e-04	0.009	0.871590762640506
IGHV9-2BCH*19	1e-04	1e-04	0.005	0.871522856690247
IGHV9-46UO*11	2e-04	2e-04	0.004	0.871590762640506
IGHV9-4FTX*12	1e-04	1e-04	1e-04	0.871522856690247
IGHV3-6JOO*03	1e-04	1e-04	1e-04	0.871522856690247
IGHV4-HDK3*01	2e-04	2e-04	0.002	0.871639301735698
IGHV9-4BFW*15	2e-04	2e-04	0.02	0.871639301735698
IGHV9-7U4O*07	2e-04	2e-04	0.02	0.871916905544724
IGHV1-ANXI*01	1e-04	1e-04	1e-04	0.871522856690247
IGHV2-3QDL*08	4e-04	4e-04	0.005	0.87158631249328
IGHV3-22WP*09	1e-04	1e-04	0.01	0.871522856690247
IGHV3-35O3*03	4e-04	4e-04	0.006	0.871676844951287
IGHV3-4D57*01	1e-04	1e-04	0.003	0.871522856690247
IGHV3-5M3E*14	1e-04	1e-04	0.003	0.871522856690247
IGHV3-7MC3*07	1e-04	1e-04	4e-04	0.871522856690247
IGHV3-D3PW*05	1e-04	1e-04	3e-04	0.871522856690247
IGHV4-2DK6*13	7e-04	7e-04	0.02	0.87224321110511
IGHV4-2NIW*01/IGHV4-2NIW*13	4e-04	4e-04	0.01	0.871601026882389
IGHV4-2QEK*01	1e-04	1e-04	0.001	0.871522856690247
IGHV4-2ZSG*06	8e-04	8e-04	0.01	0.871596394940744
IGHV4-2ZSG*21	0.002	0.002	0.02	0.871601026882389
IGHV4-36BV*01	1e-04	1e-04	0.008	0.871522856690247
